URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,81.0,34.0,0.4086956486200378,0.025795828745446853,155.0909090909091,0.34851811196487376,62.17577088114959,23.337662337662337,635.0,1822.0,3924.0,1.0,5.610318331503842
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,71.0,38.0,0.3027522908004377,0.02258726897837969,118.04285714285714,0.23203285420944558,47.30995599882664,20.285714285714285,339.0,1461.0,2667.0,6.0,4.731006160164271
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,74.0,38.0,0.3214285685586735,0.02066590125105287,126.72093023255815,0.3283582089552239,50.81971537660535,19.88372093023256,572.0,1742.0,3607.0,3.0,5.323765786452354
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,86.0,28.0,0.5087719253616498,0.03454437162921717,115.28915662650603,0.23406789755807028,46.209289809625645,20.0,393.0,1679.0,3127.0,18.0,4.759976176295414
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,71.0,28.0,0.43434342995612696,0.023717595133084614,143.74324324324326,0.25096525096525096,57.5976833976834,23.60810810810811,455.0,1813.0,3375.0,18.0,4.944291230005516
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,57.0,24.0,0.4074074023776864,0.02460850110021737,135.06896551724137,0.25205070842654737,54.12840649026717,22.482758620689655,338.0,1341.0,2513.0,21.0,4.912751677852349
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,29.0,12.0,0.4146341362284357,0.022280471792555084,99.84444444444445,0.2503276539973788,40.03790883937673,16.533333333333335,191.0,763.0,1433.0,7.0,4.972477064220183
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,44.0,13.0,0.5438596395814098,0.04073587379666771,118.5,0.22601839684625494,47.49040735873851,20.36111111111111,172.0,761.0,1356.0,2.0,4.68988173455979
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,80.0,41.0,0.3223140469230244,0.017480950238690746,156.26829268292684,0.2572837292693859,62.61023056487849,26.390243902439025,574.0,2231.0,4237.0,11.0,4.810398924249216
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,63.0,69.0,-0.04545454511019284,-0.00281822451722958,117.24038461538461,0.2550493189290747,46.998173573725474,19.076923076923077,543.0,2129.0,3945.0,1.0,4.8440582433067165
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,47.0,22.0,0.36231883532871256,0.02059308070791344,139.10714285714286,0.31960461285008235,55.77069898799718,21.446428571428573,388.0,1214.0,2562.0,10.0,5.473640856672158
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,42.0,29.0,0.18309858897044243,0.010101010093161607,104.40845070422536,0.2556332556332556,41.86563358394345,17.422535211267604,329.0,1287.0,2402.0,6.0,4.853923853923854
